"created_at","text","sentiment"
"2013-01-01 20:10:04","Kickers on my watchlist $XIDE $TRIT $SOQ $PNK $CPWR $BPZ $ALJ  trade method 1 or method 2, see prev posts","positive"
"2013-01-01 20:33:37","""@user: $AAPL MOVIE. 55% return for the FEAR/GREED indicator just 15 trades for the year.  AWESOME. URL ","positive"
"2013-01-01 21:43:41","@user I'd be afraid to short $AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service","positive"
"2013-01-02 01:49:48","$MNTA Over $12.00 URL ","positive"
"2013-01-02 01:51:33","$OI  Over $21.37 URL ","positive"
"2013-01-02 01:52:14","$PGNX  Over $3.04 URL ","positive"
"2013-01-02 03:03:03","$AAPL - @user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.","negative"
"2013-01-02 03:08:57","Monday's relative weakness. $NYX $WIN $TIE $TAP $ICE $INTU $BMC $AON $CL $CHK $BIIB URL ","negative"
"2013-01-02 03:23:35","$GOOG - Lower trend line channel test & volume support.  URL ","positive"
"2013-01-02 03:24:04","$AAPL will watch tomorrow for LONG entry.","positive"
"2013-01-02 03:35:03","i'm assuming $FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup. URL ","positive"
"2013-01-02 05:43:02","It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon $bac $spx $jpm","positive"
"2013-01-02 08:16:48","$AAPL GAMCO's Larry Haverty : Apple Is Extremely Cheap URL Great Video !!!","positive"
"2013-01-02 09:42:16","@user Maykiljil posted that.  I agree that $MSFT is going higher & possibly north of $30","positive"
"2013-01-02 12:12:32","Momentum is coming back to $ETFC Broke MA200 resistance on solid volume Friday. Long set-up URL ","positive"
"2013-01-02 12:59:25","$HAL Hitting $35.65 means resume targeting $42 level .. URL ","positive"
"2013-01-02 13:09:54","@user gameplan shot for today but I liked $LULU on trend break from May or c+h break. $OC weekly trend break back to july 2011","positive"
"2013-01-02 14:14:38","with $FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry","positive"
"2013-01-02 14:19:22","@user great list again, particularly like $FISV and $SYK. All buy & hold types should check the free list out. URL ","positive"
"2013-01-02 14:19:54","$ATHX upper trend line  URL ","positive"
"2013-01-02 14:35:18","$LNG - nice PNF BUY - breakout - need follow thru URL ","positive"
"2013-01-02 14:37:11","Won't believe $AAPL uptrend is back until it crosses above MA(50)","negative"
"2013-01-02 14:40:45","$X swing still on  URL ","positive"
"2013-01-02 14:51:59","$SWY - 30% of float short and breaking out - ouch","positive"
"2013-01-02 14:57:24","$BIOF wants 4.90's comin!!!","positive"
"2013-01-02 15:02:56","$LVS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it URL ","positive"
"2013-01-02 15:09:46","$LULU red, not ready for break out.","negative"
"2013-01-02 15:12:50","$ELLI close to breaking out now.  My trigger is at $30.40.  URL ","positive"
"2013-01-02 15:13:49","@user $BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO","positive"
"2013-01-02 15:17:55","$CHDN - Long @ @ 49.02. Trailing Stop @ 56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 - URL ","positive"
"2013-01-02 15:41:29","$AAPL VOLUME today is impressive. At this rate and well probably get to 30M shares traded today.","positive"
"2013-01-02 15:44:36","""@user: been adding $UVXY long off the bottom today for trade, also got $WPI near low""","negative"
"2013-01-02 15:47:34","I repeat, if global economy is going to get better this year go with $C instead of $BAC","positive"
"2013-01-02 16:01:39","$GOOG go LONG on close above 725.","positive"
"2013-01-02 16:02:43","$LNKD looking like a good short. Failed to break price level resistance at 116 today.","negative"
"2013-01-02 16:06:21","$GS like the price action. So far holding above 130. Still deciding whether to go LONG calls or stocks.","positive"
"2013-01-02 16:20:04","$SBUX buy when it clears resistance at 54.5","positive"
"2013-01-02 16:20:06","here is NEW up target for $AAPL and notice shakeout reading at -8.49 ! and we had buy dot Monday URL ","positive"
"2013-01-02 16:32:25","Too early to short into this move. Stock Market needs a few days to settle down. #Patience URL $COH $BWLD $DLTR $AAPL $PAY","negative"
"2013-01-02 16:33:24","$AAPL Robbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish. URL ","positive"
"2013-01-02 17:07:02","$ALXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything LOL If I'm wrong I will eat crow :)","positive"
"2013-01-02 17:28:39","$X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2 URL ","positive"
"2013-01-02 17:33:04","$AAPL 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset URL ","positive"
"2013-01-02 17:42:49","$LNG stellar move - still long swing - full position - I believe @user & @user in it 2 URL ","positive"
"2013-01-02 18:04:49","ARTICLE & TRADE SETUP: URL $KOL $ANR $CNX","positive"
"2013-01-02 18:05:28","$IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside. URL ","positive"
"2013-01-02 18:06:41","NEW POST: $BAC Is At 19 Month Highs, But Showing Signs of Stress URL ","positive"
"2013-01-02 18:15:19","$c two daily  bull flags on top of each other=bullish still URL ","positive"
"2013-01-02 18:15:49","$LNG - traditional and ATR point and figure - bullish BUY signals multiyear high URL ","positive"
"2013-01-02 18:19:25","$jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish URL ","positive"
"2013-01-02 18:24:06","$EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing URL ","positive"
"2013-01-02 18:25:39","$aapl daily , broke downtrend(from closing prices) now ""w v"" pattern back in play.......600 target URL ","positive"
"2013-01-02 18:46:19","$PHM PulteGroup Option Bear bets $1.5 Million on 11% down move by April URL ","negative"
"2013-01-02 19:01:13","$BAC In a 11.97 for a trade","positive"
"2013-01-02 19:30:56","Short Setups displaying relative weakness: $ARO $COH $PAY $BWLD $DLTR $SHLD $WTW $UPL Prepare to short the stall. $ES_F URL ","negative"
"2013-01-02 19:34:31","When $AMZN monetize all electronics it makes with traffic to marketplace, $AAPL $GOOG will wake up and say why didn't we buy $EBAY","positive"
"2013-01-02 19:41:42","$CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43 URL ","positive"
"2013-01-02 19:44:09","$SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92 URL ","positive"
"2013-01-02 19:44:35","$SKUL to the GRAVE!","negative"
"2013-01-02 19:50:16","$ovti ttm ending Oct 2012 Negative $151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011","negative"
"2013-01-02 20:02:27","$AAPL and $GOOG should respond positively to good jobless claims numbers","positive"
"2013-01-02 20:05:07","Analyst price targets and earnings targets coming down---EXACTLY what you want to see prior $AAPL reporting.","positive"
"2013-01-02 20:10:26","@user Nice! Color me an $INTC bull as well!","positive"
"2013-01-02 20:11:12","Heads Up: $AA Earnings (1/8/13) Less Than a Week Away, Tho The Season Doesn't REALLY Begin Cranking 'Til 1/16 w/ $GS $JPM $EBAY et al...","positive"
"2013-01-02 20:47:26","trade idea buy $WOR @ market 26.64, target 36, cut below 23.50 URL ","positive"
"2013-01-02 21:06:27","Trade idea buy $DRC @ market 58.50, target 67 , cut below 53 URL ","positive"
"2013-01-02 21:31:12","$GOOG looks all set to make new ATH. Now before or after ER is the unknown.","positive"
"2013-01-02 22:11:57","$GOOG trade this one long verse 10sma URL ","positive"
"2013-01-02 22:16:09","$FNF - Long @ 19.43. Trailing Stop @ 21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 - URL ","positive"
"2013-01-02 22:23:16","$FOLD should see a solid move up tom, system predict nice green candle.","positive"
"2013-01-03 00:25:47","This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high URL $nke","positive"
"2013-01-03 00:49:30","It's time to invest in $MSFT $COMPQ URL URL ","positive"
"2013-01-03 01:02:26","New Post: Shorts Will Make Dimes, Longs Will Make Dollars URL $AAPL $SPX $QQQ $UUP","positive"
"2013-01-03 01:09:10","Unbelieveable payment trend that VC's are chasing has easily played out in public markets.... $EBAY $V and Mastercard $MA all time highs","positive"
"2013-01-03 01:46:00","Some of the watch list stocks that triggered today $OREX $AGNX $TVL $RVBD $XIDE $PPC $EXPR  $ONTY  $BMRN $FSL $WLK $CHMT $FBC  $ISIL $AIG","positive"
"2013-01-03 02:39:12","Nice Bull flag breakout here $ORCL #technology #software URL ","positive"
"2013-01-03 02:40:56","My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in $PFE  URL ","positive"
"2013-01-03 02:53:10","The host with the most....congrats to the cloud today $RAX and @user more all-time highs.  wow","positive"
"2013-01-03 05:36:04","$X Did U.S. Steel Just Breakout? URL $MT too","positive"
"2013-01-03 06:31:54","$DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher URL ","positive"
"2013-01-03 13:24:52","$EXPE looks good for higher prices URL ","positive"
"2013-01-03 13:25:43","$apc weekly setting up long. URL ","positive"
"2013-01-03 13:52:04","I am going into this morning long 3 each $AAPL $560 call options & $GOOG $725 calls Jan 4th expiration","positive"
"2013-01-03 14:12:18","$ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 $SPX #stocks. URL ","positive"
"2013-01-03 14:28:37","Monitor the RS line/price dynamic. Stocks that closed Dec.28 with the RS line in new highs be4 price. $MHO $TSM $IPGP $EQIX $BC $BDC $ASH","positive"
"2013-01-03 14:32:39","$DDD $IDCC continue higher","positive"
"2013-01-03 14:40:47","Had hoped to pick up some $ROST today, but looks like I'm a day too late. Nice move up this morning.","positive"
"2013-01-03 14:49:10","$GPS wow that wa s a fast fast fade...","negative"
"2013-01-03 14:59:51","$AMZN going above 260. Should go near 300 if market behaves for a few weeks.","positive"
"2013-01-03 15:09:16","Huston we have a GREEN $AAPL","positive"
"2013-01-03 15:09:45","$P long 9.55","positive"
"2013-01-03 15:22:00","$HUN breakout...but 3rd day up so look for pullback to enter long. URL ","positive"
"2013-01-03 15:28:37","$LNG - ascend triangle much like$ FSLR & $X breakouts 127 exten then 161.8 targets - fibs subjective URL ","positive"
"2013-01-03 15:37:35","$KCG ... things that make you go hmmmm? URL ","positive"
"2013-01-03 16:16:37","$VRNG - Huge  news from patent attorney Dan Ravicher URL ","positive"
"2013-01-03 16:16:48","$LNG nhod - check the weekly - target previous lows 2006 :)","positive"
"2013-01-03 16:19:09","$LNG nhod - what do you see? check the weekly - target previous lows 2006 :)  URL ","positive"
"2013-01-03 16:23:23","$AIG American International Group Option Traders bet on 4% down move by next Friday URL ","negative"
"2013-01-03 16:42:42","$P out balance +.32","positive"
"2013-01-03 16:44:46","$VRNG buys vs. Sells?","positive"
